"","MPA","Species","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"1","Cap de Creus","Paracentrotus lividus","RCP85_2100",0.866317376125847,0.4375,0.8,"Extreme","High","Extreme","High"
"2","Tavolara","Sparus aurata","RCP85_2100",0.974587499689849,0.428571428571429,0.8,"Extreme","High","Extreme","High"
"3","Tavolara","Sciaena umbra","RCP85_2100",0.974587499689849,0.479166666666667,0.8,"Extreme","High","Extreme","High"
"4","Tavolara","Epinephelus marginatus","RCP85_2100",0.974587499689849,0.4375,0.8,"Extreme","High","Extreme","High"
"5","Brijuni","Tursiops truncatus","RCP85_2100",0.933756502824438,0.416666666666667,0.875,"Extreme","High","Extreme","High"
"6","Calanques","Sciaena umbra","RCP85_2100",0.70647291764881,0.4375,0.75,"Extreme","High","Extreme","High"
"7","Portofino","Sphyraena sphyraena","RCP85_2100",0.970040650406504,0.4375,0.9,"Extreme","High","Extreme","High"
"8","Calanques","Sparus aurata","RCP85_2100",0.70647291764881,0.416666666666667,0.75,"Extreme","High","Extreme","High"
"9","Portofino","Sphyraena sphyraena","RCP26_2050",0.458796495711651,0.4375,0.9,"High","High","Extreme","Intermediate"
"10","Tavolara","Sparus aurata","RCP26_2050",0.461864991836836,0.428571428571429,0.8,"High","High","Extreme","Intermediate"
"11","Portofino","Epinephelus marginatus","RCP26_2050",0.458796495711651,0.5,0.8,"High","High","Extreme","Intermediate"
"12","Tavolara","Sciaena umbra","RCP26_2050",0.461864991836836,0.479166666666667,0.8,"High","High","Extreme","Intermediate"
"13","Tavolara","Epinephelus marginatus","RCP26_2050",0.461864991836836,0.4375,0.8,"High","High","Extreme","Intermediate"
"14","Portofino","Epinephelus marginatus","RCP85_2050",0.434847145373793,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"15","Tavolara","Epinephelus marginatus","RCP45_2050",0.432146845975072,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"16","Tavolara","Epinephelus marginatus","RCP85_2050",0.434577053817334,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"17","Tavolara","Sciaena umbra","RCP85_2050",0.434577053817334,0.479166666666667,0.8,"Intermediate","High","Extreme","Intermediate"
"18","Calanques","Sparus aurata","RCP45_2100",0.41503981506753,0.416666666666667,0.75,"Intermediate","High","Extreme","Intermediate"
"19","Cap de Creus","Paracentrotus lividus","RCP85_2050",0.324972508994368,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"20","Portofino","Sphyraena sphyraena","RCP26_2100",0.361786455102598,0.4375,0.9,"Intermediate","High","Extreme","Intermediate"
"21","Portofino","Sphyraena sphyraena","RCP85_2050",0.434847145373793,0.4375,0.9,"Intermediate","High","Extreme","Intermediate"
"22","Portofino","Epinephelus marginatus","RCP26_2100",0.361786455102598,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"23","Brijuni","Tursiops truncatus","RCP45_2050",0.388660873053288,0.416666666666667,0.875,"Intermediate","High","Extreme","Intermediate"
"24","Portofino","Sphyraena sphyraena","RCP45_2050",0.415490583827507,0.4375,0.9,"Intermediate","High","Extreme","Intermediate"
"25","Tavolara","Sparus aurata","RCP26_2100",0.358770124639192,0.428571428571429,0.8,"Intermediate","High","Extreme","Intermediate"
"26","Cap de Creus","Paracentrotus lividus","RCP26_2050",0.379403039877098,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"27","Portofino","Epinephelus marginatus","RCP45_2050",0.415490583827507,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"28","Tavolara","Sparus aurata","RCP85_2050",0.434577053817334,0.428571428571429,0.8,"Intermediate","High","Extreme","Intermediate"
"29","Tavolara","Sciaena umbra","RCP45_2050",0.432146845975072,0.479166666666667,0.8,"Intermediate","High","Extreme","Intermediate"
"30","Brijuni","Tursiops truncatus","RCP26_2050",0.397798662630573,0.416666666666667,0.875,"Intermediate","High","Extreme","Intermediate"
"31","Tavolara","Sciaena umbra","RCP26_2100",0.358770124639192,0.479166666666667,0.8,"Intermediate","High","Extreme","Intermediate"
"32","Calanques","Sciaena umbra","RCP45_2100",0.41503981506753,0.4375,0.75,"Intermediate","High","Extreme","Intermediate"
"33","Tavolara","Epinephelus marginatus","RCP26_2100",0.358770124639192,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"34","Brijuni","Tursiops truncatus","RCP26_2100",0.327934363860424,0.416666666666667,0.875,"Intermediate","High","Extreme","Intermediate"
"35","Tavolara","Sparus aurata","RCP45_2050",0.432146845975072,0.428571428571429,0.8,"Intermediate","High","Extreme","Intermediate"
"36","Brijuni","Tursiops truncatus","RCP85_2050",0.417290578038029,0.416666666666667,0.875,"Intermediate","High","Extreme","Intermediate"
"37","Calanques","Sparus aurata","RCP85_2050",0.291469539074841,0.416666666666667,0.75,"Low","High","Extreme","Intermediate"
"38","Calanques","Sparus aurata","RCP45_2050",0.300068377870961,0.416666666666667,0.75,"Low","High","Extreme","Intermediate"
"39","Calanques","Sciaena umbra","RCP26_2050",0.308621277158855,0.4375,0.75,"Low","High","Extreme","Intermediate"
"40","Calanques","Sciaena umbra","RCP26_2100",0.232993792852476,0.4375,0.75,"Low","High","Extreme","Intermediate"
"41","Calanques","Sparus aurata","RCP26_2050",0.308621277158855,0.416666666666667,0.75,"Low","High","Extreme","Intermediate"
"42","Calanques","Sciaena umbra","RCP45_2050",0.300068377870961,0.4375,0.75,"Low","High","Extreme","Intermediate"
"43","Cap de Creus","Paracentrotus lividus","RCP45_2050",0.291554004044364,0.4375,0.8,"Low","High","Extreme","Intermediate"
"44","Calanques","Sparus aurata","RCP26_2100",0.232993792852476,0.416666666666667,0.75,"Low","High","Extreme","Intermediate"
"45","Cap de Creus","Paracentrotus lividus","RCP26_2100",0.276650910354068,0.4375,0.8,"Low","High","Extreme","Intermediate"
"46","Calanques","Sciaena umbra","RCP85_2050",0.291469539074841,0.4375,0.75,"Low","High","Extreme","Intermediate"
"47","Portofino","Epinephelus marginatus","RCP45_2100",0.63336813636702,0.5,0.8,"Very High","High","Extreme","High"
"48","Tavolara","Epinephelus marginatus","RCP45_2100",0.650834673183965,0.4375,0.8,"Very High","High","Extreme","High"
"49","Cap de Creus","Paracentrotus lividus","RCP45_2100",0.545879821932197,0.4375,0.8,"Very High","High","Extreme","High"
"50","Tavolara","Sparus aurata","RCP45_2100",0.650834673183965,0.428571428571429,0.8,"Very High","High","Extreme","High"
"51","Portofino","Sphyraena sphyraena","RCP45_2100",0.63336813636702,0.4375,0.9,"Very High","High","Extreme","High"
"52","Tavolara","Sciaena umbra","RCP45_2100",0.650834673183965,0.479166666666667,0.8,"Very High","High","Extreme","High"
"53","Calanques","Tursiops truncatus","RCP85_2100",0.70647291764881,0.3125,0.833333333333333,"Extreme","Intermediate","Extreme","High"
"54","Calanques","Octopus vulgaris","RCP85_2100",0.70647291764881,0.395833333333333,0.75,"Extreme","Intermediate","Extreme","High"
"55","Tavolara","Caretta caretta","RCP85_2100",0.974587499689849,0.357142857142857,0.75,"Extreme","Intermediate","Extreme","High"
"56","Tavolara","Tursiops truncatus","RCP85_2100",0.974587499689849,0.375,0.75,"Extreme","Intermediate","Extreme","High"
"57","Tavolara","Caretta caretta","RCP26_2050",0.461864991836836,0.357142857142857,0.75,"High","Intermediate","Extreme","Intermediate"
"58","Tavolara","Tursiops truncatus","RCP26_2050",0.461864991836836,0.375,0.75,"High","Intermediate","Extreme","Intermediate"
"59","Calanques","Tursiops truncatus","RCP45_2100",0.41503981506753,0.3125,0.833333333333333,"Intermediate","Intermediate","Extreme","Intermediate"
"60","Calanques","Octopus vulgaris","RCP45_2100",0.41503981506753,0.333333333333333,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"61","Tavolara","Caretta caretta","RCP26_2100",0.358770124639192,0.357142857142857,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"62","Tavolara","Tursiops truncatus","RCP26_2100",0.358770124639192,0.375,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"63","Tavolara","Tursiops truncatus","RCP45_2050",0.432146845975072,0.375,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"64","Tavolara","Caretta caretta","RCP85_2050",0.434577053817334,0.357142857142857,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"65","Tavolara","Caretta caretta","RCP45_2050",0.432146845975072,0.357142857142857,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"66","Tavolara","Tursiops truncatus","RCP85_2050",0.434577053817334,0.375,0.75,"Intermediate","Intermediate","Extreme","Intermediate"
"67","Calanques","Octopus vulgaris","RCP85_2050",0.291469539074841,0.333333333333333,0.75,"Low","Intermediate","Extreme","Low"
"68","Calanques","Tursiops truncatus","RCP26_2050",0.308621277158855,0.3125,0.833333333333333,"Low","Intermediate","Extreme","Low"
"69","Calanques","Octopus vulgaris","RCP26_2050",0.308621277158855,0.395833333333333,0.75,"Low","Intermediate","Extreme","Low"
"70","Calanques","Tursiops truncatus","RCP45_2050",0.300068377870961,0.3125,0.833333333333333,"Low","Intermediate","Extreme","Low"
"71","Calanques","Octopus vulgaris","RCP26_2100",0.232993792852476,0.333333333333333,0.75,"Low","Intermediate","Extreme","Low"
"72","Calanques","Tursiops truncatus","RCP26_2100",0.232993792852476,0.3125,0.833333333333333,"Low","Intermediate","Extreme","Low"
"73","Calanques","Tursiops truncatus","RCP85_2050",0.291469539074841,0.3125,0.833333333333333,"Low","Intermediate","Extreme","Low"
"74","Calanques","Octopus vulgaris","RCP45_2050",0.300068377870961,0.333333333333333,0.75,"Low","Intermediate","Extreme","Low"
"75","Tavolara","Tursiops truncatus","RCP45_2100",0.650834673183965,0.375,0.75,"Very High","Intermediate","Extreme","Intermediate"
"76","Tavolara","Caretta caretta","RCP45_2100",0.650834673183965,0.357142857142857,0.75,"Very High","Intermediate","Extreme","Intermediate"
"77","Cap de Creus","Octopus vulgaris","RCP85_2100",0.866317376125847,0.19047619047619,0.75,"Extreme","Low","Extreme","Intermediate"
"78","Tavolara","Octopus vulgaris","RCP85_2100",0.974587499689849,0.214285714285714,0.8,"Extreme","Low","Extreme","Intermediate"
"79","Portofino","Seriola dumerilii","RCP85_2100",0.970040650406504,0.125,0.9,"Extreme","Low","Extreme","Intermediate"
"80","Brijuni","Caulerpa cylindracea","RCP85_2100",0.933756502824438,0.0833333333333333,0.8,"Extreme","Low","Extreme","Intermediate"
"81","Tavolara","Octopus vulgaris","RCP26_2050",0.461864991836836,0.214285714285714,0.8,"High","Low","Extreme","Intermediate"
"82","Portofino","Seriola dumerilii","RCP26_2050",0.458796495711651,0.125,0.9,"High","Low","Extreme","Intermediate"
"83","Brijuni","Caulerpa cylindracea","RCP26_2100",0.327934363860424,0.0833333333333333,0.8,"Intermediate","Low","Extreme","Low"
"84","Portofino","Seriola dumerilii","RCP85_2050",0.434847145373793,0.125,0.9,"Intermediate","Low","Extreme","Low"
"85","Brijuni","Caulerpa cylindracea","RCP45_2050",0.388660873053288,0.0833333333333333,0.8,"Intermediate","Low","Extreme","Low"
"86","Brijuni","Caulerpa cylindracea","RCP26_2050",0.397798662630573,0.0833333333333333,0.8,"Intermediate","Low","Extreme","Low"
"87","Cap de Creus","Octopus vulgaris","RCP26_2050",0.379403039877098,0.19047619047619,0.75,"Intermediate","Low","Extreme","Low"
"88","Tavolara","Octopus vulgaris","RCP26_2100",0.358770124639192,0.214285714285714,0.8,"Intermediate","Low","Extreme","Low"
"89","Tavolara","Octopus vulgaris","RCP85_2050",0.434577053817334,0.214285714285714,0.8,"Intermediate","Low","Extreme","Low"
"90","Portofino","Seriola dumerilii","RCP26_2100",0.361786455102598,0.125,0.9,"Intermediate","Low","Extreme","Low"
"91","Brijuni","Caulerpa cylindracea","RCP85_2050",0.417290578038029,0.0833333333333333,0.8,"Intermediate","Low","Extreme","Low"
"92","Cap de Creus","Octopus vulgaris","RCP85_2050",0.324972508994368,0.19047619047619,0.75,"Intermediate","Low","Extreme","Low"
"93","Tavolara","Octopus vulgaris","RCP45_2050",0.432146845975072,0.214285714285714,0.8,"Intermediate","Low","Extreme","Low"
"94","Portofino","Seriola dumerilii","RCP45_2050",0.415490583827507,0.125,0.9,"Intermediate","Low","Extreme","Low"
"95","Cap de Creus","Octopus vulgaris","RCP45_2050",0.291554004044364,0.19047619047619,0.75,"Low","Low","Extreme","Low"
"96","Cap de Creus","Octopus vulgaris","RCP26_2100",0.276650910354068,0.19047619047619,0.75,"Low","Low","Extreme","Low"
"97","Portofino","Seriola dumerilii","RCP45_2100",0.63336813636702,0.125,0.9,"Very High","Low","Extreme","Intermediate"
"98","Brijuni","Caulerpa cylindracea","RCP45_2100",0.579798129171526,0.0833333333333333,0.8,"Very High","Low","Extreme","Intermediate"
"99","Cap de Creus","Octopus vulgaris","RCP45_2100",0.545879821932197,0.19047619047619,0.75,"Very High","Low","Extreme","Intermediate"
"100","Tavolara","Octopus vulgaris","RCP45_2100",0.650834673183965,0.214285714285714,0.8,"Very High","Low","Extreme","Intermediate"
"101","Brijuni","Dicentrarchus labrax","RCP85_2100",0.933756502824438,0.583333333333333,0.875,"Extreme","Very High","Extreme","High"
"102","Brijuni","Dentex dentex","RCP85_2100",0.933756502824438,0.625,0.8,"Extreme","Very High","Extreme","High"
"103","Portofino","Dentex dentex","RCP85_2100",0.970040650406504,0.604166666666667,0.8,"Extreme","Very High","Extreme","High"
"104","Brijuni","Sparus aurata","RCP85_2100",0.933756502824438,0.520833333333333,0.9,"Extreme","Very High","Extreme","High"
"105","Cap de Creus","Palinurus elephas","RCP85_2100",0.866317376125847,0.625,0.8,"Extreme","Very High","Extreme","High"
"106","Cap de Creus","Dentex dentex","RCP85_2100",0.866317376125847,0.625,0.8,"Extreme","Very High","Extreme","High"
"107","Portofino","Epinephelus marginatus","RCP85_2100",0.970040650406504,0.5625,0.8,"Extreme","Very High","Extreme","High"
"108","Tavolara","Paracentrotus lividus","RCP85_2100",0.974587499689849,0.571428571428571,0.8,"Extreme","Very High","Extreme","High"
"109","Tavolara","Paracentrotus lividus","RCP26_2050",0.461864991836836,0.571428571428571,0.8,"High","Very High","Extreme","High"
"110","Portofino","Dentex dentex","RCP26_2050",0.458796495711651,0.604166666666667,0.8,"High","Very High","Extreme","High"
"111","Cap de Creus","Palinurus elephas","RCP85_2050",0.324972508994368,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"112","Brijuni","Dicentrarchus labrax","RCP85_2050",0.417290578038029,0.583333333333333,0.875,"Intermediate","Very High","Extreme","Intermediate"
"113","Brijuni","Sparus aurata","RCP85_2050",0.417290578038029,0.520833333333333,0.9,"Intermediate","Very High","Extreme","Intermediate"
"114","Brijuni","Sparus aurata","RCP45_2050",0.388660873053288,0.520833333333333,0.9,"Intermediate","Very High","Extreme","Intermediate"
"115","Portofino","Dentex dentex","RCP85_2050",0.434847145373793,0.604166666666667,0.8,"Intermediate","Very High","Extreme","Intermediate"
"116","Cap de Creus","Dentex dentex","RCP85_2050",0.324972508994368,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"117","Brijuni","Dentex dentex","RCP85_2050",0.417290578038029,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"118","Tavolara","Paracentrotus lividus","RCP45_2050",0.432146845975072,0.571428571428571,0.8,"Intermediate","Very High","Extreme","Intermediate"
"119","Portofino","Dentex dentex","RCP45_2050",0.415490583827507,0.604166666666667,0.8,"Intermediate","Very High","Extreme","Intermediate"
"120","Tavolara","Paracentrotus lividus","RCP26_2100",0.358770124639192,0.571428571428571,0.8,"Intermediate","Very High","Extreme","Intermediate"
"121","Cap de Creus","Dentex dentex","RCP26_2050",0.379403039877098,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"122","Brijuni","Dicentrarchus labrax","RCP45_2050",0.388660873053288,0.583333333333333,0.875,"Intermediate","Very High","Extreme","Intermediate"
"123","Cap de Creus","Palinurus elephas","RCP26_2050",0.379403039877098,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"124","Brijuni","Dentex dentex","RCP45_2050",0.388660873053288,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"125","Portofino","Dentex dentex","RCP26_2100",0.361786455102598,0.604166666666667,0.8,"Intermediate","Very High","Extreme","Intermediate"
"126","Brijuni","Sparus aurata","RCP26_2100",0.327934363860424,0.520833333333333,0.9,"Intermediate","Very High","Extreme","Intermediate"
"127","Brijuni","Dicentrarchus labrax","RCP26_2100",0.327934363860424,0.583333333333333,0.875,"Intermediate","Very High","Extreme","Intermediate"
"128","Brijuni","Dentex dentex","RCP26_2100",0.327934363860424,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"129","Brijuni","Dentex dentex","RCP26_2050",0.397798662630573,0.625,0.8,"Intermediate","Very High","Extreme","Intermediate"
"130","Tavolara","Paracentrotus lividus","RCP85_2050",0.434577053817334,0.571428571428571,0.8,"Intermediate","Very High","Extreme","Intermediate"
"131","Brijuni","Sparus aurata","RCP26_2050",0.397798662630573,0.520833333333333,0.9,"Intermediate","Very High","Extreme","Intermediate"
"132","Brijuni","Dicentrarchus labrax","RCP26_2050",0.397798662630573,0.583333333333333,0.875,"Intermediate","Very High","Extreme","Intermediate"
"133","Cap de Creus","Dentex dentex","RCP26_2100",0.276650910354068,0.625,0.8,"Low","Very High","Extreme","Intermediate"
"134","Cap de Creus","Dentex dentex","RCP45_2050",0.291554004044364,0.625,0.8,"Low","Very High","Extreme","Intermediate"
"135","Cap de Creus","Palinurus elephas","RCP26_2100",0.276650910354068,0.625,0.8,"Low","Very High","Extreme","Intermediate"
"136","Cap de Creus","Palinurus elephas","RCP45_2050",0.291554004044364,0.625,0.8,"Low","Very High","Extreme","Intermediate"
"137","Portofino","Dentex dentex","RCP45_2100",0.63336813636702,0.604166666666667,0.8,"Very High","Very High","Extreme","High"
"138","Cap de Creus","Dentex dentex","RCP45_2100",0.545879821932197,0.625,0.8,"Very High","Very High","Extreme","High"
"139","Brijuni","Sparus aurata","RCP45_2100",0.579798129171526,0.520833333333333,0.9,"Very High","Very High","Extreme","High"
"140","Tavolara","Paracentrotus lividus","RCP45_2100",0.650834673183965,0.571428571428571,0.8,"Very High","Very High","Extreme","High"
"141","Cap de Creus","Palinurus elephas","RCP45_2100",0.545879821932197,0.625,0.8,"Very High","Very High","Extreme","High"
"142","Brijuni","Dentex dentex","RCP45_2100",0.579798129171526,0.625,0.8,"Very High","Very High","Extreme","High"
"143","Brijuni","Tursiops truncatus","RCP45_2100",0.579798129171526,0.541666666666667,0.875,"Very High","Very High","Extreme","High"
"144","Brijuni","Dicentrarchus labrax","RCP45_2100",0.579798129171526,0.583333333333333,0.875,"Very High","Very High","Extreme","High"
"145","Brijuni","Pinna nobilis","RCP85_2100",0.933756502824438,0.895833333333333,0.5,"Extreme","Extreme","High","Very High"
"146","Cap de Creus","Pinna nobilis","RCP85_2100",0.866317376125847,0.833333333333333,0.5,"Extreme","Extreme","High","Very High"
"147","Brijuni","Cladocora caespitosa","RCP85_2100",0.933756502824438,0.666666666666667,0.5,"Extreme","Extreme","High","Very High"
"148","Cap de Creus","Pinna nobilis","RCP85_2050",0.324972508994368,0.833333333333333,0.5,"Intermediate","Extreme","High","High"
"149","Brijuni","Pinna nobilis","RCP26_2100",0.327934363860424,0.895833333333333,0.5,"Intermediate","Extreme","High","High"
"150","Brijuni","Cladocora caespitosa","RCP85_2050",0.417290578038029,0.666666666666667,0.5,"Intermediate","Extreme","High","High"
"151","Brijuni","Pinna nobilis","RCP85_2050",0.417290578038029,0.895833333333333,0.5,"Intermediate","Extreme","High","High"
"152","Brijuni","Cladocora caespitosa","RCP26_2100",0.327934363860424,0.666666666666667,0.5,"Intermediate","Extreme","High","High"
"153","Cap de Creus","Pinna nobilis","RCP26_2050",0.379403039877098,0.833333333333333,0.5,"Intermediate","Extreme","High","High"
"154","Brijuni","Pinna nobilis","RCP26_2050",0.397798662630573,0.895833333333333,0.5,"Intermediate","Extreme","High","High"
"155","Brijuni","Cladocora caespitosa","RCP45_2050",0.388660873053288,0.666666666666667,0.5,"Intermediate","Extreme","High","High"
"156","Brijuni","Pinna nobilis","RCP45_2050",0.388660873053288,0.895833333333333,0.5,"Intermediate","Extreme","High","High"
"157","Brijuni","Cladocora caespitosa","RCP26_2050",0.397798662630573,0.666666666666667,0.5,"Intermediate","Extreme","High","High"
"158","Cap de Creus","Pinna nobilis","RCP45_2050",0.291554004044364,0.833333333333333,0.5,"Low","Extreme","High","High"
"159","Cap de Creus","Pinna nobilis","RCP26_2100",0.276650910354068,0.833333333333333,0.5,"Low","Extreme","High","High"
"160","Cap de Creus","Pinna nobilis","RCP45_2100",0.545879821932197,0.833333333333333,0.5,"Very High","Extreme","High","Very High"
"161","Brijuni","Pinna nobilis","RCP45_2100",0.579798129171526,0.770833333333333,0.5,"Very High","Extreme","High","Very High"
"162","Tavolara","Cystoseira amentacea","RCP85_2100",0.974587499689849,0.5,0.5,"Extreme","High","High","Very High"
"163","Calanques","Physeter macrocephalus","RCP85_2100",0.70647291764881,0.5,0.5,"Extreme","High","High","Very High"
"164","Portofino","Thunnus thynnus","RCP85_2100",0.970040650406504,0.5,0.5,"Extreme","High","High","Very High"
"165","Calanques","Lithophyllum spp.","RCP85_2100",0.70647291764881,0.444444444444444,0.5,"Extreme","High","High","Very High"
"166","Baix Emporda","Tursiops truncatus","RCP85_2100",0.866317376125847,0.416666666666667,0.5,"Extreme","High","High","Very High"
"167","Tavolara","Cystoseira amentacea","RCP26_2050",0.461864991836836,0.5,0.5,"High","High","High","High"
"168","Portofino","Thunnus thynnus","RCP26_2050",0.458796495711651,0.4375,0.5,"High","High","High","High"
"169","Baix Emporda","Tursiops truncatus","RCP26_2050",0.379403039877098,0.416666666666667,0.5,"Intermediate","High","High","High"
"170","Calanques","Lithophyllum spp.","RCP45_2100",0.41503981506753,0.444444444444444,0.5,"Intermediate","High","High","High"
"171","Portofino","Thunnus thynnus","RCP85_2050",0.434847145373793,0.4375,0.5,"Intermediate","High","High","High"
"172","Tavolara","Cystoseira amentacea","RCP45_2050",0.432146845975072,0.5,0.5,"Intermediate","High","High","High"
"173","Tavolara","Cystoseira amentacea","RCP26_2100",0.358770124639192,0.5,0.5,"Intermediate","High","High","High"
"174","Baix Emporda","Tursiops truncatus","RCP85_2050",0.324972508994368,0.416666666666667,0.5,"Intermediate","High","High","High"
"175","Portofino","Thunnus thynnus","RCP26_2100",0.361786455102598,0.4375,0.5,"Intermediate","High","High","High"
"176","Portofino","Thunnus thynnus","RCP45_2050",0.415490583827507,0.4375,0.5,"Intermediate","High","High","High"
"177","Calanques","Physeter macrocephalus","RCP45_2100",0.41503981506753,0.5,0.5,"Intermediate","High","High","High"
"178","Tavolara","Cystoseira amentacea","RCP85_2050",0.434577053817334,0.5,0.5,"Intermediate","High","High","High"
"179","Baix Emporda","Tursiops truncatus","RCP26_2100",0.276650910354068,0.416666666666667,0.5,"Low","High","High","Intermediate"
"180","Baix Emporda","Tursiops truncatus","RCP45_2050",0.291554004044364,0.416666666666667,0.5,"Low","High","High","Intermediate"
"181","Calanques","Lithophyllum spp.","RCP26_2100",0.232993792852476,0.444444444444444,0.5,"Low","High","High","Intermediate"
"182","Calanques","Lithophyllum spp.","RCP45_2050",0.300068377870961,0.444444444444444,0.5,"Low","High","High","Intermediate"
"183","Calanques","Lithophyllum spp.","RCP85_2050",0.291469539074841,0.444444444444444,0.5,"Low","High","High","Intermediate"
"184","Calanques","Lithophyllum spp.","RCP26_2050",0.308621277158855,0.444444444444444,0.5,"Low","High","High","Intermediate"
"185","Calanques","Physeter macrocephalus","RCP26_2050",0.308621277158855,0.5,0.5,"Low","High","High","Intermediate"
"186","Baix Emporda","Tursiops truncatus","RCP45_2100",0.545879821932197,0.416666666666667,0.5,"Very High","High","High","High"
"187","Portofino","Thunnus thynnus","RCP45_2100",0.63336813636702,0.5,0.5,"Very High","High","High","High"
"188","Tavolara","Cystoseira amentacea","RCP45_2100",0.650834673183965,0.5,0.5,"Very High","High","High","High"
"189","Baix Emporda","Caretta caretta","RCP85_2100",0.866317376125847,0.333333333333333,0.5,"Extreme","Intermediate","High","High"
"190","Cap de Creus","Caretta caretta","RCP85_2100",0.866317376125847,0.333333333333333,0.5,"Extreme","Intermediate","High","High"
"191","Cap de Creus","Tursiops truncatus","RCP85_2100",0.866317376125847,0.357142857142857,0.5,"Extreme","Intermediate","High","High"
"192","Baix Emporda","Caretta caretta","RCP26_2050",0.379403039877098,0.333333333333333,0.5,"Intermediate","Intermediate","High","Intermediate"
"193","Cap de Creus","Tursiops truncatus","RCP85_2050",0.324972508994368,0.357142857142857,0.5,"Intermediate","Intermediate","High","Intermediate"
"194","Baix Emporda","Caretta caretta","RCP85_2050",0.324972508994368,0.333333333333333,0.5,"Intermediate","Intermediate","High","Intermediate"
"195","Cap de Creus","Tursiops truncatus","RCP26_2050",0.379403039877098,0.357142857142857,0.5,"Intermediate","Intermediate","High","Intermediate"
"196","Cap de Creus","Caretta caretta","RCP26_2050",0.379403039877098,0.333333333333333,0.5,"Intermediate","Intermediate","High","Intermediate"
"197","Cap de Creus","Caretta caretta","RCP85_2050",0.324972508994368,0.333333333333333,0.5,"Intermediate","Intermediate","High","Intermediate"
"198","Baix Emporda","Caretta caretta","RCP45_2050",0.291554004044364,0.333333333333333,0.5,"Low","Intermediate","High","Intermediate"
"199","Baix Emporda","Caretta caretta","RCP26_2100",0.276650910354068,0.333333333333333,0.5,"Low","Intermediate","High","Intermediate"
"200","Cap de Creus","Caretta caretta","RCP45_2050",0.291554004044364,0.333333333333333,0.5,"Low","Intermediate","High","Intermediate"
"201","Calanques","Physeter macrocephalus","RCP85_2050",0.291469539074841,0.333333333333333,0.5,"Low","Intermediate","High","Intermediate"
